Factor_Category,Sub_Category,Participant_ID,Quote,Context,Analysis_Theme,Table_7_Reference
Knowledge_Mobilization,Result_Utilization,T05-22,Our findings have influenced local policy.,Impact of research outputs,Research impact,
PI_Leadership,Research Vision,T01-09,Having a clear vision guided our efforts.,Strategic planning discussions,Vision-driven leadership,
Team_Dynamics,Communication,T02-15,Open communication channels improved coordination.,Team collaboration practices,Effective communication,
Organizational_Integration,Inter-Departmental Collaboration,T04-18,Collaborating across departments enhanced outcomes.,Multi-disciplinary project work,Cross-department collaboration,
Knowledge_Mobilization,Community Engagement,T06-03,Engaging community members increased relevance.,Public involvement in research,Community involvement,
PI_Leadership,Mentorship,T02-08,Mentoring junior researchers is rewarding.,Mentorship experiences,Mentorship importance,
Team_Dynamics,Conflict Resolution,T03-20,Addressing conflicts early prevented escalation.,Team conflict management,Conflict resolution strategies,
Organizational_Integration,Resource Allocation,T04-11,Optimized resource use maximized output.,Resource management during project,Resource optimization,
Knowledge_Mobilization,Dissemination Strategies,T05-14,Tailored dissemination widened our reach.,Sharing results with diverse audiences,Dissemination effectiveness,
PI_Leadership,Innovation,T01-03,Encouraging innovation led to novel approaches.,Fostering creativity in research,Innovative leadership,
Team_Dynamics,Team Cohesion,T03-09,Strong cohesion kept us motivated.,Team morale and motivation,Team cohesion,
Organizational_Integration,Policy Alignment,T04-22,Aligning our work with policy goals increased impact.,Policy relevance of research,Policy alignment,
Knowledge_Mobilization,Knowledge Sharing,T06-17,Regular meetings facilitated knowledge exchange.,Internal communication practices,Knowledge sharing,
PI_Leadership,Decision-Making,T02-02,Inclusive decision-making improved team buy-in.,Leadership approach during key decisions,Participatory leadership,
Knowledge_Mobilization,Research_Process,T01-01,Engaging with community partners has really accelerated our dissemination efforts.,Discussion about community outreach in project,Community Engagement,
PI_Leadership,Team_Management,T02-03,Clear leadership has helped us stay on schedule despite challenges.,Team coordination meeting,Leadership Impact,
Team_Dynamics,Member_Heterogeneity,T03-05,"Our team benefits from diverse backgrounds, which enriches our research perspectives.",Team diversity discussion,Diverse Perspectives,
Organizational_Integration,Institutional Support,T04-07,Support from the university has been crucial for accessing resources.,Discussion on institutional backing,Institutional Support,
Knowledge_Mobilization,Result_Utilization,T05-09,Our findings have been quickly adopted by policymakers.,Impact of research results,Result Utilization,
PI_Leadership,Research Vision,T06-11,Having a clear research vision guides our project's trajectory.,Strategic planning session,Research Direction,
Team_Dynamics,Communication,T07-13,Open communication channels have prevented misunderstandings.,Team meeting feedback,Communication Effectiveness,
Organizational_Integration,Policy Alignment,T08-15,Aligning our project goals with organizational policies has eased implementation.,Policy discussion,Policy Alignment,
Knowledge_Mobilization,Research_Process,T09-17,Public seminars have helped us share our work more broadly.,Dissemination activities,Knowledge Sharing,
PI_Leadership,Mentorship,T10-19,Mentorship within the team fosters growth and confidence.,Team development discussion,Mentorship,
Team_Dynamics,Collaboration,T11-21,Collaborative work has led to innovative solutions.,Project development meeting,Collaboration,
Organizational_Integration,Funding Strategies,T12-23,Securing grants has been vital for sustaining our research.,Funding application process,Funding Strategies,
Knowledge_Mobilization,Result_Utilization,T13-25,We need to better communicate our results to non-academic audiences.,Dissemination planning,Communication Gap,
PI_Leadership,Strategic Planning,T14-27,Strategic planning sessions have clarified our research priorities.,Future planning meeting,Strategic Leadership,
Team_Dynamics,Conflict Resolution,T15-29,Addressing conflicts early has kept the team cohesive.,Conflict management discussion,Team Cohesion,
Organizational_Integration,Resource Allocation,T16-31,Resource allocation often determines the project's success.,Resource planning meeting,Resource Management,
Knowledge_Mobilization,Community Engagement,T17-33,Engaging with local communities provides valuable insights.,Community interaction session,Community Engagement,
PI_Leadership,Innovation,T18-35,Encouraging innovation keeps our research cutting-edge.,Research innovation discussion,Innovation Leadership,
Team_Dynamics,Motivation,T19-37,Team motivation is essential during challenging phases.,Project milestones review,Team Motivation,
Organizational_Integration,Networking,T20-39,Networking with other institutions opens new opportunities.,Collaborative opportunities discussion,Networking,
Knowledge_Mobilization,Research_Results_Communication,T01-01,Sharing preliminary findings early helped us get valuable feedback.,Discussing the process of disseminating research results,Effective Communication,
PI_Leadership,Grant Management,T01-02,Managing the grant timeline required constant coordination.,Reflecting on project leadership challenges,Leadership Skills,
Team_Dynamics,Interdisciplinary Collaboration,T01-03,"Our team members come from diverse backgrounds, which enriches our work.",Talking about team composition,Team Diversity,
Organizational_Integration,Institutional Support,T01-04,Having institutional support made it easier to access resources.,Discussing organizational backing,Resource Access,
Knowledge_Mobilization,Stakeholder Engagement,T01-05,Engaging stakeholders early increased the project's impact.,On stakeholder involvement strategy,Engagement Strategies,
PI_Leadership,Decision Making,T01-06,Decisions often had to be made quickly to keep the project on track.,Leadership during tight schedules,Decision-Making Under Pressure,
Team_Dynamics,Conflict Resolution,T01-07,"Conflicts are natural, but open communication resolves them.",Addressing team conflicts,Communication Skills,
Organizational_Integration,Policy Alignment,T01-08,Aligning our project goals with institutional policies was crucial.,Policy considerations in project planning,Policy Compatibility,
Knowledge_Mobilization,Methodology Adoption,T01-09,We adopted new methods to improve data reliability.,Research methodology discussions,Methodological Innovation,
PI_Leadership,Mentorship,T01-10,Mentoring junior researchers is rewarding but demanding.,Leadership in skill development,Mentorship Importance,
Team_Dynamics,Communication Patterns,T01-11,Regular meetings keep everyone on the same page.,Team communication routines,Team Communication,
Organizational_Integration,Funding Sustainability,T01-12,Securing ongoing funding remains a challenge.,Funding concerns post-project,Financial Planning,
Knowledge_Mobilization,Public Outreach,T01-13,Hosting community seminars helped us translate research.,Community engagement activities,Public Engagement,
PI_Leadership,Vision Setting,T01-14,Having a clear vision motivates the team.,Leadership strategy for project direction,Visionary Leadership,
Team_Dynamics,Role Clarity,T01-15,Clear roles prevent duplication of efforts.,Defining team responsibilities,Role Definition,
Organizational_Integration,Collaboration Networks,T01-16,Building external partnerships expanded our impact.,Networking and collaboration,Partnership Development,
Knowledge_Mobilization,Data Sharing,T01-17,Open data sharing accelerates scientific progress.,Data management practices,Open Science,
PI_Leadership,Resource Allocation,T01-18,Allocating resources effectively is key to success.,Project resource planning,Resource Management,
Team_Dynamics,Motivation,T01-19,Keeping the team motivated during setbacks is challenging.,Team morale issues,Motivational Strategies,
Organizational_Integration,Compliance and Ethics,T01-20,Adhering to ethical standards builds trust in our research.,Ethical considerations in research,Research Ethics,
Knowledge_Mobilization,Research_Process,T01-01,Collaborating with community partners helped us tailor our research to real-world needs.,Participant discussing engagement with stakeholders.,Stakeholder Engagement,
PI_Leadership,Research Direction,T02-03,Guiding the team through complex projects requires clear vision and persistence.,Discussion on leadership in project execution.,Leadership Styles,
Team_Dynamics,Communication,T03-02,Regular meetings foster trust and keep everyone aligned.,Comment on team communication practices.,Team Coordination,
Organizational_Integration,Institutional Support,T04-04,The support from the university facilitated access to resources.,Talking about organizational backing.,Organizational Support,
Knowledge_Mobilization,Result_Utilization,T05-05,Our findings have been integrated into local health policies.,Discussing practical application of research.,Policy Impact,
PI_Leadership,Mentorship,T06-01,Mentoring junior researchers is essential for sustaining our field.,On leadership and capacity building.,Mentorship Importance,
Team_Dynamics,Heterogeneity,T07-02,Our diverse team brings multiple perspectives to the problem.,Team composition and benefits.,Diversity Advantages,
Organizational_Integration,Cross-Department Collaboration,T08-03,Collaborating across departments expanded our research scope.,On organizational collaboration.,Interdepartmental Cooperation,
Knowledge_Mobilization,Research Dissemination,T09-04,Publishing in open-access journals increased our reach.,Discussing research dissemination.,Open Access Publishing,
PI_Leadership,Strategic Planning,T10-05,Long-term planning helps us adapt to changing research landscapes.,On strategic leadership.,Future-Oriented Strategy,
Team_Dynamics,Conflict Resolution,T11-06,Addressing conflicts early keeps the team productive.,Conflict management practices.,Team Cohesion,
Organizational_Integration,Funding Opportunities,T12-07,Institutional grants provided essential funding.,Funding sources for research.,Research Funding,
Knowledge_Mobilization,Community Engagement,T13-08,Engaging local communities enriched our data collection.,Methodology involving community.,Community Participation,
PI_Leadership,Decision-Making,T14-09,Decisions are most effective when made collaboratively.,Leadership approach to decision-making.,Collaborative Leadership,
Team_Dynamics,Role Clarity,T15-10,Clear roles prevent confusion and overlap.,Team organization.,Role Definition,
Organizational_Integration,Policy Alignment,T16-11,Our research aligns with institutional strategic priorities.,Institutional research goals.,Strategic Alignment,
Knowledge_Mobilization,Training and Capacity Building,T17-12,Workshops have improved our team's research skills.,Professional development activities.,Capacity Building,
PI_Leadership,Innovation,T18-13,Encouraging innovation leads to more impactful research.,Leadership promoting new ideas.,Innovative Leadership,
Team_Dynamics,Motivation,T19-14,Recognizing team achievements boosts morale.,Incentive mechanisms.,Team Motivation,
Organizational_Integration,Resource Sharing,T20-15,Sharing resources across units reduces duplication.,Efficiency in resource utilization.,Resource Optimization,
Knowledge_Mobilization,Research_Process,T01-01,Sharing preliminary results helped us refine our methodology.,Discussing early-stage research sharing,Knowledge Sharing,
PI_Leadership,Research Direction,T01-02,The PI?™s vision keeps the team focused and motivated.,Team meeting on project goals,Leadership Impact,
Team_Dynamics,Member_Heterogeneity,T01-03,Different backgrounds contribute to richer discussions.,Team diversity discussion,Heterogeneity Benefits,
Organizational_Integration,Resource Allocation,T01-04,Access to institutional resources accelerates our progress.,Project planning phase,Resource Utilization,
Knowledge_Mobilization,Result_Utilization,T01-05,Our findings are now informing policy development.,Dissemination session,Impact of Research,
PI_Leadership,Mentorship,T01-06,The PI?™s mentorship has been invaluable for early-career researchers.,Mentor-mentee discussion,Mentorship Influence,
Team_Dynamics,Communication,T01-07,Regular updates keep everyone on the same page.,Weekly team meeting,Communication Patterns,
Organizational_Integration,Collaboration,T01-08,Cross-department collaboration opens new avenues.,Inter-departmental project,Collaborative Synergy,
Knowledge_Mobilization,Research_Process,T01-09,Transparent sharing of data enhances trust.,Data management discussion,Trust Building,
PI_Leadership,Strategic Planning,T01-10,Clear strategic goals guide our research.,Strategic planning session,Strategic Leadership,
Team_Dynamics,Conflict Resolution,T01-11,Open dialogue helps resolve conflicts quickly.,Conflict discussion,Conflict Management,
Organizational_Integration,Policy Alignment,T01-12,Aligning research goals with organizational policy is crucial.,Policy review meeting,Policy Integration,
Knowledge_Mobilization,Result_Utilization,T01-13,Our research results are used by practitioners daily.,Practitioner feedback,Practical Impact,
PI_Leadership,Resource Management,T01-14,Efficient resource management makes a big difference.,Funding allocation discussion,Resource Efficiency,
Team_Dynamics,Motivation,T01-15,Celebrating small wins boosts morale.,Team milestone acknowledgment,Team Motivation,
Organizational_Integration,Training and Development,T01-16,Ongoing training keeps our skills sharp.,Training session overview,Capacity Building,
Knowledge_Mobilization,Research Process,T01-17,Pilot studies help us identify pitfalls early.,Design phase discussion,Research Optimization,
PI_Leadership,Vision Setting,T01-18,Having a clear vision helps align our efforts.,Vision setting workshop,Vision and Goals,
Team_Dynamics,Collaboration,T01-19,Collaborative work accelerates discovery.,Brainstorming session,Collaboration Benefits,
Organizational_Integration,Funding Strategies,T01-20,Securing diverse funding sources is vital.,Funding strategy meeting,Funding Diversity,
Knowledge_Mobilization,Research_Process,T01-01,Engaging with community stakeholders has improved our project outcomes.,Discussion about stakeholder engagement during research,Community Engagement,
PI_Leadership,Academic_Vision,T02-05,My vision is to foster interdisciplinary collaboration for greater impact.,PI discussing long-term research goals,Leadership Vision,
Team_Dynamics,Member_Heterogeneity,T03-12," Diverse team members bring valuable perspectives, but sometimes communication barriers exist.",Team meeting on project progress,Team Diversity Challenges,
Organizational_Integration,Institutional_Support,T04-07,Institutional backing has been crucial for securing resources.,Discussion on organizational support systems,Institutional Support,
Knowledge_Mobilization,Result_Utilization,T01-02,Our findings are being actively used by local health agencies.,Interview about research dissemination,Knowledge Transfer,
PI_Leadership,Research_Funding,T02-09,Securing funding requires strategic partnerships and clear objectives.,Discussing funding strategies,Funding Strategies,
Team_Dynamics,Team_Management,T03-18,Effective management keeps the team focused and motivated.,Team leadership discussion,Team Motivation,
Organizational_Integration,Policy_Alignment,T04-11,Aligning our research with organizational policies facilitates smoother implementation.,Policy discussion session,Policy Integration,
Knowledge_Mobilization,Community_Engagement,T01-08,Community input shaped the research questions significantly.,Focus group feedback,Community-Centered Research,
PI_Leadership,Mentorship,T02-03,Mentoring junior researchers is vital for sustaining our research capacity.,Mentorship program review,Mentorship Impact,
Team_Dynamics,Interpersonal_Relations,T03-09,Trust among team members has improved collaboration.,Team-building activity,Trust Building,
Organizational_Integration,Resource_Access,T04-14,Access to labs and data was seamless due to organizational support.,Resource management meeting,Resource Accessibility,
Knowledge_Mobilization,Knowledge_Sharing,T01-15,Regular seminars help disseminate our research across departments.,Internal knowledge sharing session,Knowledge Sharing,
PI_Leadership,Strategic_Planning,T02-21,Strategic planning ensures our research stays aligned with societal needs.,Planning retreat discussion,Strategic Alignment,
Team_Dynamics,Conflict_Resolution,T03-06,Addressing conflicts openly has strengthened our team.,Team conflict resolution workshop,Conflict Management,
Organizational_Integration,Change_Management,T04-19,Managing change effectively is key to adapting organizationally.,Organizational change briefing,Change Adaptation,
Knowledge_Mobilization,Dissemination_Strategies,T01-04,Tailored dissemination strategies increased outreach.,Dissemination plan review,Effective Communication,
PI_Leadership,Decision_Making,T02-16,Collaborative decision-making fosters team buy-in.,Leadership meeting,Team Decision-Making,
Team_Dynamics,Motivation,T03-21,Recognition motivates team members to excel.,Performance review discussion,Motivation Strategies,
Knowledge_Mobilization,Research_Impact,T01-01,Sharing our findings with community stakeholders increased the real-world application.,Discussing knowledge transfer to external audiences.,Knowledge Dissemination,
PI_Leadership,Project Management,T01-02,Clear leadership helped us stay on track despite challenges.,Leadership style during project execution.,Leadership Effectiveness,
Team_Dynamics,Communication,T01-03,Open communication fostered trust within the team.,Team meetings and collaboration.,Team Cohesion,
Organizational_Integration,Institutional Support,T01-04,Institutional backing was crucial for resource allocation.,Support from university administration.,Organizational Support,
Knowledge_Mobilization,Stakeholder Engagement,T01-05,Engaging stakeholders early improved project relevance.,Initial stakeholder consultation.,Stakeholder Involvement,
PI_Leadership,Decision Making,T01-06,Decisiveness in leadership prevented delays.,Making key project decisions.,Leadership Decisiveness,
Team_Dynamics,Conflict Resolution,T01-07,Addressing conflicts promptly maintained team harmony.,Handling disagreements within the team.,Conflict Management,
Organizational_Integration,Policy Alignment,T01-08,Aligning research goals with organizational policies was essential.,Setting research objectives.,Policy Alignment,
Knowledge_Mobilization,Result Utilization,T01-09,Our results influenced local policy changes.,Dissemination to policymakers.,Policy Impact,
PI_Leadership,Mentorship,T01-10,Mentoring junior researchers strengthened the team.,Leadership role in team development.,Mentorship and Development,
Team_Dynamics,Interdisciplinary Collaboration,T01-11,Collaborating across disciplines enriched our perspective.,Working with diverse experts.,Interdisciplinary Collaboration,
Organizational_Integration,Resource Sharing,T01-12,Shared resources optimized our research efficiency.,Using institutional facilities.,Resource Management,
Knowledge_Mobilization,Public Engagement,T01-13,Public talks increased community awareness.,Outreach activities.,Community Engagement,
PI_Leadership,Strategic Planning,T01-14,Long-term planning kept us aligned with goals.,Setting strategic direction.,Strategic Leadership,
Team_Dynamics,Motivation,T01-15,Recognizing team achievements boosted morale.,Celebrating milestones.,Team Motivation,
Organizational_Integration,Funding Acquisition,T01-16,Securing grants was vital for project continuation.,Funding process and challenges.,Funding Strategy,
Knowledge_Mobilization,Training & Capacity Building,T01-17,Workshops improved our team's research skills.,Capacity development activities.,Training Impact,
PI_Leadership,Conflict Management,T01-18,Handling disputes effectively kept the team focused.,Managing internal disagreements.,Conflict Resolution,
Team_Dynamics,Leadership Support,T01-19,Strong leadership provided clear guidance.,Leadership during busy project phases.,Leadership Support,
Organizational_Integration,Regulatory Compliance,T01-20,Adhering to regulations ensured smooth progress.,Navigating institutional and legal requirements.,Regulatory Adherence,
Knowledge_Mobilization,Research_Communication,T01-01,Sharing our findings through workshops really enhanced stakeholder engagement.,Discussing methods of disseminating research results,Effective Knowledge Translation,
PI_Leadership,Team_Supervision,T02-05,Clear guidance from the PI kept the team focused and motivated.,Reflections on leadership style during project execution,Leadership Influence,
Team_Dynamics,Interdisciplinary_Collaboration,T03-12,Different disciplinary languages sometimes caused misunderstandings.,Challenges faced in a multidisciplinary team,Communication Barriers,
Organizational_Integration,Policy_Alignment,T04-07,Aligning our research goals with institutional policies facilitated smoother operations.,Discussing organizational support for research activities,Organizational Support,
Knowledge_Mobilization,Result_Utilization,T01-03,Our research findings are now being used to inform local policies.,Impact of research on policy decisions,Research Impact,
PI_Leadership,Decision_Making,T02-09,The PI's openness to team input improved decision-making processes.,Team meetings and decision-making dynamics,Leadership Style,
Team_Dynamics,Role_Clarity,T03-15,Unclear roles sometimes led to duplication of efforts.,Examining team efficiency,Team Efficiency,
Organizational_Integration,Funding_Management,T04-11,Secure funding streams allowed us to plan long-term activities.,Financial sustainability of research projects,Resource Management,
Knowledge_Mobilization,Stakeholder_Engagement,T01-07,Engaging community members early on built trust and improved relevance.,Community involvement in research process,Community Engagement,
PI_Leadership,Mentorship,T02-02,Regular mentorship meetings helped junior researchers develop confidence.,Support for early-career team members,Mentorship Effectiveness,
Team_Dynamics,Conflict_Resolution,T03-08,Open dialogue was key to resolving conflicts quickly.,Handling disagreements within the team,Team Cohesion,
Organizational_Integration,Institutional_Resources,T04-14,Access to institutional labs and equipment accelerated our research.,Resource availability and research progress,Resource Utilization,
Knowledge_Mobilization,Educational_Outreach,T01-09,Workshops for students helped disseminate our research methods.,Educational component of project outreach,Public Engagement,
PI_Leadership,Strategic_Planning,T02-13,Long-term strategic planning kept the project aligned with goals.,Project planning and management,Strategic Leadership,
Team_Dynamics,Motivation,T03-17,Regular recognition boosted team morale.,Maintaining motivation during challenging phases,Team Morale,
Organizational_Integration,Interdepartmental_Coordination,T04-19,Coordination across departments was crucial for complex projects.,Managing multi-departmental research,Operational Collaboration,
Knowledge_Mobilization,Policy_Influence,T01-02,Our research directly influenced new health policies.,Research impact on policy formulation,Policy Influence,
Knowledge_Mobilization,Research_Communication,T01-01,Clear communication of research findings is essential for impact.,Discussing dissemination strategies during team meeting.,Importance of effective communication,
PI_Leadership,Decision_Making,T02-05,Decisions often depend on consensus among senior researchers.,Talking about leadership dynamics in project planning.,Shared leadership and decision-making,
Team_Dynamics,Conflict Resolution,T03-12,"Conflicts are inevitable, but addressing them openly helps us move forward.",Reflecting on past team conflicts and resolutions.,Open communication reduces conflict,
Organizational_Integration,Resource Allocation,T04-07,Limited resources challenge our ability to expand research activities.,Budget planning discussion.,Resource constraints impact research scope,
Knowledge_Mobilization,Public Engagement,T05-09,Engaging the public increases trust and understanding of our work.,Planning outreach events.,Public engagement importance,
PI_Leadership,Mentorship,T06-03,Mentoring junior researchers is key to sustaining our research culture.,Discussing mentorship programs.,Mentorship and capacity building,
Team_Dynamics,Collaborative Culture,T07-15,A collaborative environment fosters innovative ideas.,Team brainstorming session.,Collaborative vs. competitive culture,
Organizational_Integration,Policy Alignment,T08-11,Aligning project goals with organizational policies ensures smoother implementation.,During project approval process.,Policy alignment,
Knowledge_Mobilization,Knowledge Sharing,T09-02,Regular meetings help us share insights and progress.,Weekly team check-ins.,Regular communication channels,
PI_Leadership,Vision Setting,T10-14,Setting a clear vision motivates the team.,Strategic planning session.,Leadership and motivation,
Team_Dynamics,Diversity,T11-04,Diverse backgrounds lead to richer discussions.,Team diversity discussion.,Heterogeneity benefits,
Organizational_Integration,Cross-Department Collaboration,T12-08,Collaboration across departments broadens our perspectives.,Multi-department project meeting.,Interdepartmental cooperation,
Knowledge_Mobilization,Impact Evaluation,T13-13,Evaluating impact helps justify research investments.,Discussing project outcomes.,Impact assessment,
PI_Leadership,Funding Acquisition,T14-10,Securing funding is crucial for ongoing research.,Grant application discussion.,Funding and sustainability,
Team_Dynamics,Team Motivation,T15-06,Recognition boosts team morale and productivity.,Discussing team incentives.,Motivation and rewards,
Organizational_Integration,Training and Development,T16-16,Ongoing training keeps us updated with the latest methods.,Staff development workshop.,Continuous learning,
Knowledge_Mobilization,Stakeholder Engagement,T17-17,Engaging stakeholders early leads to better project buy-in.,Initial stakeholder meetings.,Stakeholder involvement,
PI_Leadership,Ethical Oversight,T18-18,Maintaining ethical standards is fundamental for credibility.,Discussing research ethics.,Ethical conduct,
Team_Dynamics,Communication Patterns,T19-19,Open channels of communication prevent misunderstandings.,Team communication review.,Transparent communication,
Organizational_Integration,Infrastructure Support,T20-20,Adequate infrastructure facilitates efficient research.,Discussing lab facilities.,Infrastructure importance,
Knowledge_Mobilization,Research_Process,T01-01,Sharing preliminary results helped us refine our approach.,Discussing early data sharing in project meetings.,Importance of Communication,
PI_Leadership,Academic_Vision,T01-02,Aligning research goals with institutional priorities is crucial.,During strategic planning session.,Leadership and Vision,
Team_Dynamics,Member_Heterogeneity,T01-03,Our team benefits from diverse disciplinary backgrounds.,In a discussion about team composition.,Diversity in Teams,
Organizational_Integration,Institutional_Support,T01-04,Administrative support has significantly facilitated project progress.,Reflecting on organizational backing.,Support Structures,
Knowledge_Mobilization,Result_Utilization,T01-05,Policy changes were driven by our research findings.,Talking about research impact on policy.,Research Impact,
PI_Leadership,Team_Management,T01-06,Effective delegation has empowered team members.,In a leadership reflection.,Leadership Strategies,
Team_Dynamics,Communication,T01-07,Regular meetings keep everyone on the same page.,Discussing team communication practices.,Communication Practices,
Organizational_Integration,Funding,T01-08,Securing funding was a major hurdle initially.,Talking about project funding challenges.,Funding Challenges,
Knowledge_Mobilization,Research_Process,T01-09,Engaging stakeholders early made a difference.,About stakeholder involvement.,Stakeholder Engagement,
PI_Leadership,Academic_Vision,T01-10,Maintaining a clear vision kept the team motivated.,During project motivation discussion.,Motivational Leadership,
Team_Dynamics,Member_Heterogeneity,T01-11,Different perspectives led to innovative solutions.,In a problem-solving session.,Innovation through Diversity,
Organizational_Integration,Institutional_Support,T01-12,Collaborations with other departments enhanced our research.,Talking about inter-departmental cooperation.,Collaborative Research,
Knowledge_Mobilization,Result_Utilization,T01-13,Our findings have been widely disseminated through workshops.,Discussing dissemination strategies.,Knowledge Translation,
PI_Leadership,Team_Management,T01-14,Clear role definitions prevented overlaps and confusion.,Team planning session.,Role Clarity,
Team_Dynamics,Communication,T01-15,Open communication fostered trust among team members.,In a team trust-building exercise.,Trust Building,
Organizational_Integration,Funding,T01-16,Consistent funding cycles helped maintain project momentum.,Reflecting on funding stability.,Funding Stability,
Knowledge_Mobilization,Research_Process,T01-17,Iterative feedback loops improved our methodology.,During methodological development.,Methodology Improvement,
PI_Leadership,Academic_Vision,T01-18,A shared vision encourages perseverance through challenges.,Discussing team resilience.,Resilience and Leadership,
Team_Dynamics,Member_Heterogeneity,T01-19,Including community members added valuable insights.,Community engagement discussion.,Community Involvement,
Organizational_Integration,Institutional_Support,T01-20,Administrative policies need to be more flexible.,Advocating for policy reforms.,Policy Flexibility,
Knowledge_Mobilization,Research_Process,T01-01,Sharing preliminary results helped us get valuable feedback from stakeholders.,Discussing early dissemination of findings.,Early Feedback Loop,
PI_Leadership,Academic_Vision,T01-02,Our PI emphasizes the importance of aligning the research with long-term goals.,PI leadership style during project planning.,Vision and Strategy,
Team_Dynamics,Member_Heterogeneity,T01-03,The team?™s diverse backgrounds really enriched our approach.,Team composition and collaboration.,Diversity Benefits,
Organizational_Integration,Institutional_Support,T01-04,Institutional support was crucial for accessing resources.,Support from the home organization.,Resource Accessibility,
Knowledge_Mobilization,Result_Utilization,T01-05,Our findings are now being used to influence policy.,Impact of research on policymaking.,Research Impact,
PI_Leadership,Research_Funding,T01-06,Securing funding was a major milestone for our project.,Funding acquisition phase.,Funding Strategies,
Team_Dynamics,Communication,T01-07,Regular meetings kept everyone on the same page.,Team communication practices.,Effective Communication,
Organizational_Integration,Collaborations,T01-08,Collaborating with external partners expanded our perspective.,Partnerships with other institutions.,Collaborative Networks,
Knowledge_Mobilization,Public_Engagement,T01-09,Engaging the community made our research more relevant.,Community outreach activities.,Community Engagement,
PI_Leadership,Mentorship,T01-10,The PI?™s mentorship helped me develop new skills.,Mentorship during the project.,Capacity Building,
Team_Dynamics,Conflict_Resolution,T01-11,We resolved disagreements through open dialogue.,Managing team conflicts.,Conflict Resolution,
Organizational_Integration,Policy_Influence,T01-12,Our work has influenced institutional policies.,Policy changes stemming from research.,Policy Impact,
Knowledge_Mobilization,Dissemination_Strategies,T01-13,Using social media increased our outreach.,Dissemination methods.,Dissemination Effectiveness,
PI_Leadership,Decision_Making,T01-14,The PI?™s inclusive decision-making process fostered team buy-in.,Team decision-making.,Leadership Style,
Team_Dynamics,Interpersonal_Relationships,T01-15,Trust among team members made collaboration smoother.,Team cohesion.,Trust and Collaboration,
Organizational_Integration,Training_Opportunities,T01-16,Training programs provided valuable skill development.,Professional development.,Capacity Building,
Knowledge_Mobilization,Academic_Products,T01-17,Publishing in open access journals increased visibility.,Academic dissemination.,Visibility and Reach,
PI_Leadership,Strategic Planning,T01-18,Strategic planning sessions kept the project aligned.,Project management meetings.,Strategic Alignment,
Team_Dynamics,Motivation,T01-19,Recognition of efforts kept the team motivated.,Acknowledging team achievements.,Motivation and Morale,
Organizational_Integration,Resource Allocation,T01-20,Efficient resource allocation was vital for success.,Managing project resources.,Resource Management,
Knowledge_Mobilization,Research_Communication,T01-01,Sharing preliminary results helped us get valuable feedback from community partners.,Discussing early dissemination stages,Importance of early stakeholder engagement,
PI_Leadership,Vision Setting,T01-02,My role is to inspire the team with a clear research vision.,Leadership approach in project,Vision as motivational tool,
Team_Dynamics,Collaboration Challenges,T01-03," Sometimes, team members have conflicting priorities which slow down progress.",Team meetings and coordination,Need for better alignment,
Organizational_Integration,Institutional Support,T01-04,Our institution provides great support for interdisciplinary projects.,Institutional resources,Facilitating interdisciplinary work,
Knowledge_Mobilization,Public Engagement,T01-05,Engaging the public early helped in refining our research questions.,Community outreach phase,Benefits of public involvement,
PI_Leadership,Decision Making,T01-06,Decisions are often made collaboratively to ensure buy-in from all team members.,Leadership process,Collaborative decision-making,
Team_Dynamics,Role Clarity,T01-07,Clear roles prevent misunderstandings and overlap.,Project planning meetings,Importance of role clarity,
Organizational_Integration,Resource Allocation,T01-08,Allocating resources effectively is crucial for timely research outcomes.,Funding and resource management,Efficient resource management,
Knowledge_Mobilization,Data Sharing,T01-09,Sharing data openly accelerates scientific discovery.,Data management policies,Open data culture,
PI_Leadership,Mentorship,T01-10,Mentoring junior researchers is essential for sustaining the team.,Training new team members,Leadership in capacity building,
Team_Dynamics,Conflict Resolution,T01-11,Addressing conflicts early prevents long-term issues.,Team disputes,Proactive conflict management,
Organizational_Integration,Policy Influence,T01-12,Our research directly influences organizational policies.,Research impact,Research translating into policy,
Knowledge_Mobilization,Publication Strategy,T01-13,Publishing in open-access journals increases our visibility.,Dissemination planning,Strategic publication choices,
PI_Leadership,Funding Acquisition,T01-14,Securing grants is a continuous effort that requires team effort.,Grant writing process,Team collaboration in funding,
Team_Dynamics,Inclusivity,T01-15,We value diverse perspectives to enrich our research.,Diversity and inclusion initiatives,Benefits of inclusivity,
Organizational_Integration,Inter-organizational Collaboration,T01-16,Collaborating with other organizations broadens our impact.,Partnership development,Inter-organizational networks,
Knowledge_Mobilization,Training and Capacity Building,T01-17,Training workshops have significantly improved team skills.,Capacity building activities,Importance of training,
PI_Leadership,Strategic Planning,T01-18,Long-term strategic planning keeps our research aligned.,Project roadmap discussions,Strategic vision,
Team_Dynamics,Motivation,T01-19,Recognition motivates team members to excel.,Performance feedback sessions,Recognition and motivation,
Organizational_Integration,Administrative Support,T01-20,Administrative staff help us navigate complex bureaucratic processes.,Institutional bureaucracy,Support structures,
Knowledge_Mobilization,Research_Process,T01-01,We found that early engagement with stakeholders helped refine our research questions.,Discussing stakeholder involvement in project design.,Stakeholder Engagement,
PI_Leadership,Research Direction,T02-03,Setting clear goals at the outset kept the team aligned.,Leadership approach during the initial phase of the project.,Leadership Clarity,
